id,Floor,shelf,call_number,Latitude,Longitude
1,3,16,N1,34.18241369,-117.3239301
2,3,17,N367,34.18240149,-117.3239429
3,3,18,NA440 .L,34.18238817,-117.3239546
4,3,19,ND553,34.18237264,-117.323962
5,3,20,*N73 OVERSIZE,34.18236016,-117.3239754
6,3,21,*N7262 .C OVERSIZE,34.18235101,-117.3239898
7,3,22,*NC245 .K56 OVERSIZE,34.18233409,-117.3239958
8,3,23,*ND1106 OVERSIZE,34.18231994,-117.3240076
9,3,24,D1,34.1826242,-117.3238865
10,3,25,D37,34.18261117,-117.3238999
11,3,26,D410.5,34.18259369,-117.3239043
12,3,27,D619 .R,34.18258177,-117.323917
13,3,28,D767 .M,34.18256707,-117.3239274
14,3,29,D810 .J4 C,34.18255375,-117.3239392
15,3,30,DA28 .D,34.18253767,-117.3239469
16,3,31,DA198.5 .W,34.18252325,-117.3239566
17,3,32,DA506 .L,34.18251021,-117.3239697
18,3,33,DA576 .R,34.18249828,-117.3239804
19,3,34,DB39,34.18248275,-117.3239895
20,3,35,DC251 .F,34.18248192,-117.3239885
21,3,36,DD253.65,34.18246777,-117.3239999
22,3,37,DG223 .R,34.18245335,-117.3240059
23,3,38,DK131,34.18244531,-117.3240247
24,3,39,DK507,34.18240842,-117.3240267
25,3,40,DR267,34.18240842,-117.3240267
